ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1062,Ốc Tửng,"143/8 Đường Số 10, P. 13, Quận 6, TP. HCM",00:00 - 00:00,49.000 - 59.000,Quận 6,49000,59000,54000.0
1063,Anna - Bánh Mì Thổ Nhĩ Kỳ - Hậu Giang,"888 Hậu Giang, P. 12, Quận 6, TP. HCM",00:00 - 23:59,18.000 - 30.000,Quận 6,18000,30000,24000.0
1064,Da Gà Chiên Nước Mắm - Đường Số 10,"120/2 Đường Số 10, P. 13, Quận 6, TP. HCM",00:00 - 23:59,0 - 0,Quận 6,0,0,0.0
1065,Bánh Tráng Út Hạnh,"Kios 12 Đường Số 32, P. 10, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 40.000,Quận 6,10000,40000,25000.0
1066,Gà Rán Popeyes - Nguyễn Văn Luông,"500C Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 150.000,Quận 6,30000,150000,90000.0
1067,Mì Cay Gochu - Nguyễn Văn Luông,"409 Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 50.000,Quận 6,30000,50000,40000.0
1068,Gà Rán & Burger McDonald's Phu Lam,"718Bis Kinh Dương Vương, P. 13, Quận 6, TP. HCM",07:00 - 22:50,30.000 - 80.000,Quận 6,30000,80000,55000.0
1069,Lotteria - Bình Phú,"211 - 213 Bình Phú, P. 11, Quận 6, TP. HCM",07:30 - 22:00,30.000 - 110.000,Quận 6,30000,110000,70000.0
1070,Long Ký - Cơm Gà Da Rất Giòn,"98 Chợ Lớn, P. 11, Quận 6, TP. HCM",00:00 - 00:00,35.000 - 39.000,Quận 6,35000,39000,37000.0
1071,Cơm Tấm 3 Chị Em,"733 Lò Gốm, P. 9, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 50.000,Quận 6,25000,50000,37500.0
1072,Kore - Mì Cay 7 Cấp Độ Hàn Quốc - An Dương Vương,"416 An Dương Vương, P. 10, Quận 6, TP. HCM",00:00 - 00:00,0 - 0,Quận 6,0,0,0.0
1073,Bún Đậu Mắm Tôm Hai Anh Em - Gia Truyền Gốc Hà Nội - Hậu Giang,"1001 Hậu Giang, P. 11, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 60.000,Quận 6,30000,60000,45000.0
1074,Mến - Bún Chả Cá Sứa Nha Trang - Hậu Giang,"208 Hậu Giang, P. 9, Quận 6, TP. HCM",00:00 - 02:00 | 06:35 - 23:59,20.000 - 30.000,Quận 6,20000,30000,25000.0
1075,Yoko Sushi,"36/46/4 Kinh Dương Vương, P. 13, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 79.000,Quận 6,10000,79000,44500.0
1076,Texas Chicken - Hậu Giang,"176C-176D Hậu Giang, P. 6, Quận 6, TP. HCM",00:00 - 00:00,50.000 - 220.000,Quận 6,50000,220000,135000.0
1077,Bún Bò Huế Đông Phong - Hậu Giang,"251 Hậu Giang, P. 5, Quận 6, TP. HCM",06:30 - 21:30,30.000 - 40.000,Quận 6,30000,40000,35000.0
1078,Funny Beef - Spaghetti & Beefsteak - Nguyễn Văn Luông,"203C Nguyễn Văn Luông, P. 11, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 95.000,Quận 6,25000,95000,60000.0
1079,Doyagi - Ẩm Thực Hàn Quốc,"126 Đường Số 10, Cư Xá Ra Đa, P. 13, Quận 6, TP. HCM",00:00 - 00:00,28.000 - 50.000,Quận 6,28000,50000,39000.0
1080,Bánh Canh Cua Út Thảo,"427 Hậu Giang, P. 11, Quận 6, TP. HCM",07:30 - 22:20,35.000 - 180.000,Quận 6,35000,180000,107500.0
1081,Gà Rán KFC - Hậu Giang,"549 - 551 Hậu Giang, P. 11, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 88.000,Quận 6,30000,88000,59000.0
1082,Ty Thy - Gỏi Đu Đủ Thái,"546 An Dương Vương, P. 10, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 50.000,Quận 6,15000,50000,32500.0
1083,Cơm Gà Hải Nam - Hậu Giang,"140 Hậu Giang, P. 6, Quận 6, TP. HCM",00:00 - 00:00,41.000 - 105.000,Quận 6,41000,105000,73000.0
1084,O Tú - Bún Bò Huế - Chợ Lớn,"256 Chợ Lớn, P. 11, Quận 6, TP. HCM",06:00 - 19:30,20.000 - 30.000,Quận 6,20000,30000,25000.0
1085,Bánh Cuốn & Bánh Ướt Phú Lâm,"1/1A Tân Hòa Đông, P. 13, Quận 6, TP. HCM",00:00 - 23:59,20.000 - 25.000,Quận 6,20000,25000,22500.0
1086,Súp Cua Mộc - Hậu Giang,"17C Hậu Giang, P. 2, Quận 6, TP. HCM",07:00 - 21:00,20.000 - 40.000,Quận 6,20000,40000,30000.0
1087,Mr Béo - Cháo Hàu & Bột Chiên Hải Sản,"500 Hậu Giang, Quận 6, TP. HCM",00:00 - 00:00,7.000 - 30.000,Quận 6,7000,30000,18500.0
1088,Cơm Gà Xối Mỡ Thạch Lam - Hậu Giang,"313 Hậu Giang, P. 5, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 35.000,Quận 6,25000,35000,30000.0
1089,Bánh Tráng Út Bình,"449A Phạm Văn Chí, P. 7, Quận 6, TP. HCM",00:00 - 00:00,3.000 - 250.000,Quận 6,3000,250000,126500.0
1090,Xôi Bình Tiên - Minh Phụng,"88 Minh Phụng, P. 5, Quận 6, TP. HCM",06:05 - 22:30,10.000 - 33.000,Quận 6,10000,33000,21500.0
1091,Xuân Mai - Phở & Lẩu Bò,"251D Hậu Giang, P. 5, Quận 6, TP. HCM",00:00 - 00:00,2.000 - 300.000,Quận 6,2000,300000,151000.0
1092,Bánh Canh Cua Thảo - Cư Xá Phú Lâm B,"E38 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",08:00 - 22:30,15.000 - 33.000,Quận 6,15000,33000,24000.0
1093,"Cơm Gà, Cháo & Gỏi Gà Ta Tường Vy - Bình Phú","34 Bình Phú, P. 11, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 300.000,Quận 6,15000,300000,157500.0
1094,Kem Bơ - Trái Cây Tô 251 - Đặng Nguyên Cẩn,"66E Đặng Nguyên Cẩn, P. 14, Quận 6, TP. HCM",00:00 - 02:30 | 08:00 - 23:59,10.000 - 40.000,Quận 6,10000,40000,25000.0
